EventID,EventTitle,Status,EventStartDate,District,EventCategory,EventSubCategory,EventDescr
E-06-00001,Paradise Dump Day ,Active,10/21/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Dump Day event for Paradise, CA"
E-12-00006,Fountain Valley Dump Day Event,Active,11/04/2023,12,Dump Day,Miscellaneous Large Item,"Bulky item drop off event.
Accepted:
- Bulky solid waste
- Scap metal
- E-Waste"
E-07-00007,"City of Carson Bulky Item, Paper Shedding, and E-Waste Dump Day",Active,10/21/2023,7,Dump Day,Paper Shredding;Miscellaneous Large Item;Other,"Bulky Item, Paper Shedding, and E-Waste event."
E-09-00008,D9 Bridgeport Transfer Station,Active,10/22/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,All items accepted.
E-09-00009,Big Pine Dump Day,Active,11/04/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Dump Day event for the community of Big Pine, CA"
E-02-00010,D2 Siskiyou County free household waste dump day,Active,10/28/2023,2,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Free household dump day during last Saturday of each month for Yreka at the Oberlin Transfer Station and Mount Shasta at the Black Butte Transfer Station – August 26, September 30, October 28."
E-02-00011,D2 Siskiyou County free household waste dump day,Active,10/28/2023,2,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Free household dump day during last Saturday of each month for Yreka at the Oberlin Transfer Station and Mount Shasta at the Black Butte Transfer Station – August 26, September 30, October 28."
E-04-00012,D-4 South of Market Moscone Transit/YBG Mural Ribbon Cutting,Active,11/03/2023,4,Ribbon Cutting,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"CCLGP-SOMA Moscone Transit/YBG Ribbon Cutting

Friday, November 3, 2023

11 a - 12 p

4th Street sidewalk, mid-block between Howard & Folsom Streets, San Francisco

Celebration of Mural installations, and new landscaping w/colorful drought resistant plants and flowers."
E-05-00013,"Community Dump Day in Greenfield, Monterey County",Active,10/07/2023,5,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Free Community Dump Day in Greenfield, Monterey County with Tri-Cities Disposal/Recycling from 9am to noon."
E-02-00014,D2 Community Creek Clean-up,Active,10/07/2023,2,Community Engagement;Clean Up,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Caltrans District 2, through the Clean CA program is offering dump vouchers for volunteers of the 2023 Community Creek Clean-Up.

2023 Community Creek Clean-Up Tickets, Sat, Oct 7, 2023 at 8:00 AM | Eventbrite

Join us on Saturday, October 7, 2023, from 8:00 AM–12:00 PM (noon) as we tackle the litter and invasive vegetation that has become overgrown and reduces the visibility of the Sacramento River. This year we are also adding some fun art and trail projects. Creek Clean-Up will focus on the Sacramento River Trail near the site of the new bike park, between N. Market St. and the Arboretum Loop Trailhead (975 N. Market St.).

During these four short hours, hundreds of volunteers will gather to help clear the trash left on the trail and remove Himalayan Blackberry, Ailanthus, Pyracantha, Fruiting Mulberry, Acacia, and Black Locust.

Bring your water bottle, wear closed-toe shoes, long pants, sunscreen, and come out and help restore this riparian oasis. You can make a substantial contribution to beautifying this scenic space in the heart of Redding during a single morning of labor involving hundreds of your fellow citizens.

Gloves, safety goggles, buckets, and garden tools will be made available for use. Please bring your own loppers, garbage pickers, or safety equipment if you have it.

Kids must be 10 years of age or older to participate. No exceptions. Volunteers between the ages of 10 and 18 are allowed to bring a waiver (available on the City of Redding Creek Clean-Up webpage—link below) to check-in that has been signed by a parent or guardian prior to event day.

Participants between 10 and 18 years old are REQUIRED to have a waiver signed by a parent or guardian!

Print yours here, have a parent or guardian sign it, and bring it to our Registration Table on Creek Clean-Up Day!"
E-05-00015,Santa Maria Open Streets,Active,10/08/2023,5,Community Engagement,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Caltrans is partnering with the City of Santa Maria for their Open Streets event on Sunday, Oct. 8 from 11am to 5pm along Main Street (SR 166) between Broadway and Blosser Road."
E-09-00016,Boron Tire Amnesty,Active,12/02/2023,9,Dump Day,Tire Amnesty,"Tire Amnesty for Boron, CA"
E-01-00017,D1 Lake County Large Item Dump Day,Active,10/14/2023,1,Dump Day,Mattress and Furniture;Paper Shredding;Miscellaneous Large Item,"Date: 10/14/23

Time: 9-1

Items Accepted: Bulky Items (appliances, mattresses, furniture)

Items not accepted: tires, household waste, hazardous waste

Lakeport Transfer Station – 230 Soda Bay Road, Lakeport 
Lake County Waste Solutions Recycling Center – 16015 Davis St., Clearlake
Eastlake Landfill – 16015 Davis Ave., Clearlake 
Partners: Lake County, Lake County Waste Solutions"
E-09-00018,Independence Dump Day,Active,12/10/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Miscellaneous Large Item;Other,"Dump Day event for Independence, CA "
E-01-00019,D1 Lake County Large Item Dump Day,Active,10/14/2023,1,Dump Day,Mattress and Furniture;Paper Shredding;Miscellaneous Large Item,"Date: 10/14/23

Time: 9-1

Items Accepted: Bulky Items (appliances, mattresses, furniture)

Items not accepted: tires, household waste, hazardous waste

Lakeport Transfer Station – 230 Soda Bay Road, Lakeport 
Lake County Waste Solutions Recycling Center – 16015 Davis St., Clearlake
Eastlake Landfill – 16015 Davis Ave., Clearlake 
Partners: Lake County, Lake County Waste Solutions"
E-09-00020,Lone Pine Dump Day Event,Active,12/10/2023,9,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Dump Day event for Lone Pine, CA"
E-01-00021,D1 Lake County Large Item Dump Day,Active,10/14/2023,1,Dump Day,Mattress and Furniture;Paper Shredding;Miscellaneous Large Item,"Date: 10/14/23

Time: 9-1

Items Accepted: Bulky Items (appliances, mattresses, furniture)

Items not accepted: tires, household waste, hazardous waste

Lakeport Transfer Station – 230 Soda Bay Road, Lakeport 
Lake County Waste Solutions Recycling Center – 16015 Davis St., Clearlake
Eastlake Landfill – 16015 Davis Ave., Clearlake 
Partners: Lake County, Lake County Waste Solutions"
E-08-00022,D8 Free Dump Day Caltrans Riverside Maintenance Station,Active,10/14/2023,8,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"Saturday, October 14, 2023
Event: Free Dump Day

Location: Caltrans Riverside Maintenance Station

Address: 1091 Everton Pl, Riverside, CA 92507

Time: 9:00 A.M. - 3:00 P.M."
E-07-00023,D7 Free Dump Day Multiple Locations,Active,10/14/2023,7,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"It's time to get rid of unwanted bulky items. We will be accepting bulky item waste at 5 locations across the City.

Event Locations:

11050 Pendleton Street, Sun Valley
8840 Vanalden Avenue, Northridge
1400 North Gaffey Street, San Pedro
2027 Stoner Avenue, Los Angeles
2201 East Washington Boulevard, Los Angeles"
E-07-00024,D7 Free Dump Day Multiple Locations,Active,10/14/2023,7,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"It's time to get rid of unwanted bulky items. We will be accepting bulky item waste at 5 locations across the City.

Event Locations:

11050 Pendleton Street, Sun Valley
8840 Vanalden Avenue, Northridge
1400 North Gaffey Street, San Pedro
2027 Stoner Avenue, Los Angeles
2201 East Washington Boulevard, Los Angeles"
E-07-00025,D7 Free Dump Day Multiple Locations,Active,10/14/2023,7,Dump Day,Mattress and Furniture;Paper Shredding;Tire Amnesty;Electronics;Miscellaneous Large Item;Other,"It's time to get rid of unwanted bulky items. We will be accepting bulky item waste at 5 locations across the City.

Event Locations:

11050 Pendleton Street, Sun Valley
8840 Vanalden Avenue, Northridge
1400 North Gaffey Street, San Pedro
2027 Stoner Avenue, Los Angeles
2201 East Washington Boulevard, Los Angeles"
